SL,State_UT,Cases_2022,Cases_2023,Cases_2024,Population_Lakhs,Crime_Rate_2024,Chargesheet_Rate_2024
1,Andhra Pradesh,2341,2341,2528,534,4.7,28.6
2,Arunachal Pradesh,14,24,78,15.8,4.9,7.7
3,Assam,1733,909,408,361.6,1.1,17.6
4,Bihar,1621,4450,6380,1292.1,4.9,61.9
5,Chhattisgarh,439,473,660,306.4,2.2,76.3
6,Goa,90,86,77,15.9,4.9,6.8
7,Gujarat,1417,1995,1592,726.5,2.2,56.6
8,Haryana,681,751,1815,306.9,5.9,55.6
9,Himachal Pradesh,77,127,148,75.2,2,62.5
10,Jharkhand,967,1079,1423,401.3,3.5,54.8
11,Karnataka,12556,21889,21993,682.6,32.2,22.1
12,Kerala,773,3295,2962,359.7,8.2,34.2
13,Madhya Pradesh,826,685,1081,879.5,1.2,86.2
14,Maharashtra,8249,8103,9922,1276.8,7.8,32.7
15,Manipur,18,3,5,32.6,0.2,-
16,Meghalaya,75,64,97,33.9,2.9,3.9
17,Mizoram,1,31,50,12.5,4,84.4
18,Nagaland,4,2,14,22.6,0.6,20.0
19,Odisha,1983,2348,2501,466.6,5.4,17.4
20,Punjab,697,511,888,309.9,2.9,48.1
21,Rajasthan,1833,2435,1527,821.9,1.9,44.7
22,Sikkim,26,12,15,7,2.2,3.8
23,Tamil Nadu,2082,4121,5793,771.7,7.5,50.8
24,Telangana,15297,18236,27230,383.2,71.1,16.2
25,Tripura,30,36,33,41.9,0.8,56.0
26,Uttar Pradesh,10117,10794,11073,2388.8,4.6,54.0
27,Uttarakhand,559,494,543,118,4.6,76.9
28,West Bengal,401,309,282,997.2,0.3,67.5
29,A&N Islands,28,47,28,4,6.9,92.3
30,Chandigarh,27,23,116,12.5,9.3,79.3
31,D&N Haveli and Daman & Diu,5,6,5,13.9,0.4,57.1
32,Delhi,685,407,404,218.8,1.8,77.8
33,Jammu & Kashmir,173,185,114,137.3,0.8,42.6
34,Ladakh,3,1,1,3,0.3,66.7
35,Lakshadweep,1,1,0,0.7,0,-
36,Puducherry,64,147,142,17,8.4,28.0
,,,,,,,
,,,,,,,
