State_UT,Cases_2022,Cases_2023,Cases_2024,Population_Lakhs,Crime_Rate_2024,Chargesheet_Rate_2024,Growth_22_23,Growth_23_24
Andhra Pradesh,2341,2341,2528,534,4.7,28.6,0,7.988039299
Arunachal Pradesh,14,24,78,15.8,4.9,7.7,71.42857143,225
Assam,1733,909,408,361.6,1.1,17.6,-47.54760531,-55.11551155
Bihar,1621,4450,6380,1292.1,4.9,61.9,174.5219001,43.37078652
Chhattisgarh,439,473,660,306.4,2.2,76.3,7.744874715,39.53488372
Goa,90,86,77,15.9,4.9,6.8,-4.444444444,-10.46511628
Gujarat,1417,1995,1592,726.5,2.2,56.6,40.79040226,-20.20050125
Haryana,681,751,1815,306.9,5.9,55.6,10.27900147,141.677763
Himachal Pradesh,77,127,148,75.2,2,62.5,64.93506494,16.53543307
Jharkhand,967,1079,1423,401.3,3.5,54.8,11.58221303,31.88137164
Karnataka,12556,21889,21993,682.6,32.2,22.1,74.33099713,0.475124492
Kerala,773,3295,2962,359.7,8.2,34.2,326.2613195,-10.10622155
Madhya Pradesh,826,685,1081,879.5,1.2,86.2,-17.07021792,57.81021898
Maharashtra,8249,8103,9922,1276.8,7.8,32.7,-1.769911504,22.44847587
Manipur,18,3,5,32.6,0.2,,-83.33333333,66.66666667
Meghalaya,75,64,97,33.9,2.9,3.9,-14.66666667,51.5625
Mizoram,1,31,50,12.5,4,84.4,3000,61.29032258
Nagaland,4,2,14,22.6,0.6,20,-50,600
Odisha,1983,2348,2501,466.6,5.4,17.4,18.40645487,6.516183986
Punjab,697,511,888,309.9,2.9,48.1,-26.68579627,73.77690802
Rajasthan,1833,2435,1527,821.9,1.9,44.7,32.84233497,-37.28952772
Sikkim,26,12,15,7,2.2,3.8,-53.84615385,25
Tamil Nadu,2082,4121,5793,771.7,7.5,50.8,97.93467819,40.57267653
Telangana,15297,18236,27230,383.2,71.1,16.2,19.21291757,49.32002632
Tripura,30,36,33,41.9,0.8,56,20,-8.333333333
Uttar Pradesh,10117,10794,11073,2388.8,4.6,54,6.691707028,2.584769316
Uttarakhand,559,494,543,118,4.6,76.9,-11.62790698,9.91902834
West Bengal,401,309,282,997.2,0.3,67.5,-22.94264339,-8.737864078
A&N Islands,28,47,28,4,6.9,92.3,67.85714286,-40.42553191
Chandigarh,27,23,116,12.5,9.3,79.3,-14.81481481,404.3478261
D&N Haveli and Daman & Diu,5,6,5,13.9,0.4,57.1,20,-16.66666667
Delhi,685,407,404,218.8,1.8,77.8,-40.58394161,-0.737100737
Jammu & Kashmir,173,185,114,137.3,0.8,42.6,6.936416185,-38.37837838
Ladakh,3,1,1,3,0.3,66.7,-66.66666667,0
Lakshadweep,1,1,0,0.7,0,,0,-100
Puducherry,64,147,142,17,8.4,28,129.6875,-3.401360544
