State_UT,Fraud_Total,Identity_Theft,Cyber_Stalking,Fake_Profile,Defamation_Morphing,Online_Gambling,Total_Cases,Fraud_Percentage
Andhra Pradesh,593,68,147,18,3,1,2528,23.457278481012658
Arunachal Pradesh,0,4,0,0,0,0,78,0.0
Assam,1,26,0,0,0,0,408,0.24509803921568626
Bihar,4020,57,73,109,0,8,6380,63.00940438871473
Chhattisgarh,74,1,4,2,0,8,660,11.212121212121213
Goa,0,9,0,19,0,0,77,0.0
Gujarat,80,155,27,19,0,3,1592,5.025125628140704
Haryana,215,126,17,8,0,0,1815,11.84573002754821
Himachal Pradesh,2,4,0,0,0,0,148,1.3513513513513513
Jharkhand,57,703,7,1,0,0,1423,4.005621925509487
Karnataka,0,1191,0,0,0,0,21993,0.0
Kerala,86,39,45,5,0,0,2962,2.9034436191762323
Madhya Pradesh,96,35,59,2,1,4,1081,8.880666049953746
Maharashtra,2827,544,403,23,4,7,9922,28.492239467849224
Manipur,0,0,0,0,0,0,5,0.0
Meghalaya,0,6,0,4,0,0,97,0.0
Mizoram,0,0,0,0,0,0,50,0.0
Nagaland,0,2,0,0,0,0,14,0.0
Odisha,1546,26,0,0,0,0,2501,61.81527389044382
Punjab,95,36,9,4,2,0,888,10.698198198198199
Rajasthan,78,20,47,6,1,2,1527,5.1080550098231825
Sikkim,0,0,0,0,0,0,15,0.0
Tamil Nadu,684,45,34,11,5,0,5793,11.807353702744692
Telangana,18922,58,298,16,11,4,27230,69.48953360264414
Tripura,0,4,0,0,0,0,33,0.0
Uttar Pradesh,165,446,34,37,1,0,11073,1.4901110810078568
Uttarakhand,2,16,2,0,0,0,543,0.3683241252302026
West Bengal,29,5,12,0,0,0,282,10.28368794326241
A&N Islands,0,2,1,0,0,0,28,0.0
Chandigarh,76,4,2,1,0,0,116,65.51724137931035
D&N Haveli and Daman & Diu,0,0,0,0,0,0,5,0.0
Delhi,110,29,18,0,0,0,404,27.22772277227723
Jammu & Kashmir,0,5,1,0,0,0,114,0.0
Ladakh,0,1,0,0,0,0,1,0.0
Lakshadweep,0,0,0,0,0,0,0,
Puducherry,0,1,0,0,0,0,142,0.0
